location,Zotola,Zotola
20200508T0700,8.557102,165.37912
20200508T0800,4.379589,189.46233
20200508T0900,5.04,180.0
20200508T1000,6.489992,213.69006
20200508T1100,9.422101,263.41806
20200508T1200,14.458382,288.88608
20200508T1300,19.296135,306.65613
20200508T1400,19.346441,315.0
20200508T1500,20.380579,324.34467
20200508T1600,14.007655,334.0935
20200508T1700,12.979984,340.55997
20200508T1800,12.9249525,347.125
20200508T1900,12.413476,343.1416
20200508T2000,1.8,360.0
20200508T2100,8.654986,253.07248
20200508T2200,5.692099,235.30484
20200508T2300,3.219938,206.56505
20200509T0000,1.484318,194.03624
20200509T0100,1.8,360.0
20200509T0200,5.2416787,15.945404
20200509T0300,9.826088,8.426956
20200509T0400,20.532627,2.009552
20200509T0500,9.726665,2.1210938
20200509T0600,6.379216,16.389526
20200509T0700,4.802999,12.994629
20200509T0800,10.703569,340.3462
20200509T0900,11.440978,347.27567
20200509T1000,16.394829,340.76935
20200509T1100,16.676977,346.26373
20200509T1200,15.546833,354.68546
20200509T1300,15.496736,2.6629944
20200509T1400,15.484185,17.592407
20200509T1500,14.480773,34.87532
20200509T1600,14.480773,55.124657
20200509T1700,16.831684,48.46823
20200509T1800,11.592894,36.158173
20200509T1900,11.298495,22.479431
20200509T2000,15.175612,67.693794
20200509T2100,12.783802,57.652542
20200509T2200,10.990322,31.607498
20200509T2300,10.383987,56.30993
20200510T0000,13.479583,55.885513
20200510T0100,12.397806,64.17901
20200510T0200,8.39657,59.036232
20200510T0300,6.989936,55.491463
20200510T0400,5.3517847,42.27368
20200510T0500,4.39436,34.99202
20200510T0600,3.396233,32.005356
20200510T0700,2.9024127,29.744873
20200510T0800,2.0991426,59.036232
20200510T0900,0.8049845,26.565033
20200510T1000,4.802999,12.994629
20200510T1100,8.825508,11.76828
20200510T1200,14.345898,17.525558
20200510T1300,17.786331,35.94211
20200510T1400,16.08761,49.537766
20200510T1500,17.283749,54.323578
20200510T1600,17.595861,59.237274
20200510T1700,19.161337,64.39781
20200510T1800,18.35647,64.440025
20200510T1900,17.782686,58.24051
20200510T2000,13.584932,57.994614
20200510T2100,11.4862,57.80426
20200510T2200,8.225035,66.8014
20200510T2300,5.6002855,44.999985
20200511T0000,5.3999996,53.130096
20200511T0100,6.162207,83.29016
20200511T0200,7.2805495,81.46923
20200511T0300,6.618519,44.999985
20200511T0400,3.8773184,21.801407
20200511T0500,3.2399998,360.0
20200511T0600,3.6179552,354.28943
20200511T0700,2.0991426,30.963745
20200511T0800,2.8799999,89.99999
20200511T0900,2.2768397,18.434952
20200511T1000,4.379589,9.462311
20200511T1100,7.24486,26.565033
20200511T1200,13.746156,44.999985
20200511T1300,21.611996,60.018356
20200511T1400,18.514643,63.43495
20200511T1500,20.291357,64.79887
20200511T1600,21.461555,67.3062
20200511T1700,21.413193,63.00415
20200511T1800,19.826164,60.64225
20200511T1900,17.727943,60.832375
20200511T2000,14.693999,59.036255
20200511T2100,12.904882,67.011284
20200511T2200,9.3876505,85.60129
20200511T2300,8.28,89.99999
20200512T0000,6.5693827,80.537674
20200512T0100,4.5820518,44.999985
20200512T0200,4.1046314,15.255127
20200512T0300,3.96,360.0
20200512T0400,1.8,360.0
20200512T0500,0.0,180.0
20200512T0600,0.71999997,180.0
20200512T0700,1.8,180.0
20200512T0800,3.319036,167.47119
20200512T0900,4.510787,151.38954
20200512T1000,3.319036,102.52881
20200512T1100,2.5455842,8.130096
20200512T1200,7.289445,327.0948
20200512T1300,10.883676,325.7843
20200512T1400,9.387651,327.5288
20200512T1500,6.9899354,348.11133
20200512T1600,5.4477882,352.40536
20200512T1700,8.287822,55.61966
20200512T1800,5.154415,65.224846
20200512T1900,8.473393,77.73522
20200512T2000,10.24578,71.565056
20200512T2100,7.5685663,64.65382
20200512T2200,5.0142193,68.96249
20200512T2300,3.5455887,66.037506
