"","timestamp","Zotola.Wind.Speed..80.m.","Zotola.Wind.Direction..80.m."
"172",2020-04-21 03:00:00,2.9024127,7.125
"173",2020-04-21 04:00:00,1.8,306.8699
"174",2020-04-21 05:00:00,3.319036,282.5288
"175",2020-04-21 06:00:00,2.52,270
"176",2020-04-21 07:00:00,2.2768397,198.43495
"177",2020-04-21 08:00:00,3.96,180
"178",2020-04-21 09:00:00,3.319036,167.47119
"179",2020-04-21 10:00:00,2.0364676,135
"180",2020-04-21 11:00:00,1.9386592,21.801407
"181",2020-04-21 12:00:00,4.6938252,355.60132
"182",2020-04-21 13:00:00,7.8625183,344.0546
"183",2020-04-21 14:00:00,10.805999,358.09085
"184",2020-04-21 15:00:00,13.049689,24.443954
"185",2020-04-21 16:00:00,14.05845,50.194427
"186",2020-04-21 17:00:00,18.218275,60.39554
"187",2020-04-21 18:00:00,18.532135,60.945396
"188",2020-04-21 19:00:00,19.164717,61.99083
"189",2020-04-21 20:00:00,16.595179,65.658905
"190",2020-04-21 21:00:00,11.269782,63.43495
"191",2020-04-21 22:00:00,4.452954,75.96376
"192",2020-04-21 23:00:00,1.08,180
"193",2020-04-20 00:00:00,3.6179552,84.289406
"194",2020-04-20 01:00:00,3.6,36.86989
"195",2020-04-20 02:00:00,1.609969,26.565033
"196",2020-04-20 03:00:00,1.609969,296.56506
"197",2020-04-20 04:00:00,2.8799999,270
"198",2020-04-20 05:00:00,4.5536795,251.56506
"199",2020-04-20 06:00:00,5.8048253,240.25513
"201",2020-04-20 08:00:00,5.95906,205.01689
"202",2020-04-20 09:00:00,6.1305785,229.76364
"203",2020-04-20 10:00:00,8.049845,259.69516
"204",2020-04-20 11:00:00,5.1165614,320.7106
"205",2020-04-20 12:00:00,9.726665,2.1210938
"206",2020-04-20 13:00:00,14.77755,2.792694
"207",2020-04-20 14:00:00,15.034041,16.69925
"208",2020-04-20 15:00:00,17.713316,37.568573
"209",2020-04-20 16:00:00,18.59845,47.353302
"210",2020-04-20 17:00:00,18.218275,52.22432
"211",2020-04-20 18:00:00,16.1198,60.57254
"212",2020-04-20 19:00:00,18.214718,71.56504
"213",2020-04-20 20:00:00,17.87718,64.98311
"214",2020-04-20 21:00:00,13.217443,60.64225
"215",2020-04-20 22:00:00,8.534353,62.354027
"216",2020-04-20 23:00:00,5.8048253,82.874985
"217",2020-04-21 00:00:00,6.162207,96.70984
"218",2020-04-21 01:00:00,7.2,89.99999
"219",2020-04-21 02:00:00,5.8603754,79.38034
"220",2020-04-21 03:00:00,3.319036,77.47118
"221",2020-04-21 04:00:00,0.35999998,89.99999
"222",2020-04-21 05:00:00,1.484318,255.96376
"223",2020-04-21 06:00:00,2.4149535,243.43495
"225",2020-04-21 08:00:00,5.4833565,156.8014
"226",2020-04-21 09:00:00,5.2416787,164.0546
"227",2020-04-21 10:00:00,3.6,126.869896
"228",2020-04-21 11:00:00,4.072935,44.999985
"229",2020-04-21 12:00:00,9.693296,21.801407
"230",2020-04-21 13:00:00,13.281023,32.828537
"231",2020-04-21 14:00:00,10.182337,44.999985
"232",2020-04-21 15:00:00,8.942214,40.100906
"233",2020-04-21 16:00:00,13.551501,50.389297
"234",2020-04-21 17:00:00,19.64228,63.904564
"235",2020-04-21 18:00:00,22.218153,63.019768
"236",2020-04-21 19:00:00,23.532547,60.689995
"237",2020-04-21 20:00:00,16.42247,63.996643
"238",2020-04-21 21:00:00,12.245294,88.315315
"239",2020-04-21 22:00:00,6.2145634,100.00798
"240",2020-04-21 23:00:00,1.5273507,135
"241",2020-04-22 00:00:00,1.835647,348.69006
"242",2020-04-22 01:00:00,3.563818,44.999985
"243",2020-04-22 02:00:00,5.4477882,82.40536
"244",2020-04-22 03:00:00,4.379589,99.46232
"245",2020-04-22 04:00:00,3.671294,168.69006
"246",2020-04-22 05:00:00,5.7599998,180
"247",2020-04-22 06:00:00,8.4042845,189.86581
"248",2020-04-22 07:00:00,12.641076,199.98311
"249",2020-04-22 08:00:00,5.3999996,216.8699
"250",2020-04-22 09:00:00,5.6233797,219.80557
"251",2020-04-22 10:00:00,12.682018,235.40771
"252",2020-04-22 11:00:00,16.946787,257.73523
"253",2020-04-22 12:00:00,16.394829,278.84183
"254",2020-04-22 13:00:00,12.594856,300.96375
"255",2020-04-22 14:00:00,11.298495,329.34933
"256",2020-04-22 15:00:00,13.363711,4.6354523
"257",2020-04-22 16:00:00,13.513193,41.7603
"258",2020-04-22 17:00:00,13.527572,64.79888
"259",2020-04-22 18:00:00,14.458382,71.113914
"260",2020-04-22 19:00:00,16.516901,69.59012
"261",2020-04-22 20:00:00,13.684735,91.50743
"262",2020-04-22 21:00:00,10.44,133.60281
"263",2020-04-22 22:00:00,12.144331,168.02386
"264",2020-04-22 23:00:00,14.759999,192.68039
"265",2020-04-23 00:00:00,25.233404,222.10873
"266",2020-04-23 01:00:00,23.4,239.48978
"267",2020-04-23 02:00:00,22.007162,254.82709
"268",2020-04-23 03:00:00,22.366402,236.82149
"269",2020-04-23 04:00:00,28.58545,233.70737
"270",2020-04-23 05:00:00,23.34455,243.43495
"271",2020-04-23 06:00:00,24.482647,250.23282
"272",2020-04-23 07:00:00,26.368616,255.77405
"273",2020-04-23 08:00:00,19.107151,227.29062
"274",2020-04-23 09:00:00,26.486313,238.9027
"275",2020-04-23 10:00:00,23.233253,257.4712
"276",2020-04-23 11:00:00,23.936617,282.15494
"277",2020-04-23 12:00:00,24.458813,312.61407
"278",2020-04-23 13:00:00,23.233252,319.3987
"279",2020-04-23 14:00:00,21.533897,321.789
