location,Los Almárcigos,Los Almárcigos
20200509T0500,1.1384199,251.56506
20200509T0600,0.35999998,89.99999
20200509T0700,2.52,89.99999
20200509T0800,9.19939,30.579224
20200509T0900,8.404285,43.264297
20200509T1000,6.9247384,62.102737
20200509T1100,5.771239,86.42367
20200509T1200,4.1046314,105.25512
20200509T1300,3.396233,147.99461
20200509T1400,4.452954,194.03624
20200509T1500,11.720751,227.48956
20200509T1600,18.289274,233.8068
20200509T1700,20.00512,239.74356
20200509T1800,18.532133,245.9245
20200509T1900,18.532133,245.9245
20200509T2000,20.00512,239.74356
20200509T2100,21.897945,242.59244
20200509T2200,19.008547,245.37643
20200509T2300,15.175612,247.69379
20200510T0000,11.726277,252.1213
20200510T0100,8.557102,255.37914
20200510T0200,5.506941,258.69006
20200510T0300,2.52,270.0
20200510T0400,0.35999998,360.0
20200510T0500,2.968636,75.96376
20200510T0600,5.1544156,77.905235
20200510T0700,7.072878,75.25644
20200510T0800,7.5942082,31.42955
20200510T0900,7.653705,48.81407
20200510T1000,6.725354,74.47588
20200510T1100,5.506941,78.69006
20200510T1200,3.319036,77.47118
20200510T1300,1.1384199,108.434944
20200510T1400,2.5455842,188.1301
20200510T1500,7.928177,219.47246
20200510T1600,10.44,223.60281
20200510T1700,15.03835,227.91084
20200510T1800,17.283749,234.3236
20200510T1900,20.3774,237.99463
20200510T2000,21.068459,236.853
20200510T2100,21.2522,243.869
20200510T2200,17.22742,243.97041
20200510T2300,13.363711,242.74467
20200511T0000,10.1887,237.99463
20200511T0100,7.7043357,232.59465
20200511T0200,6.618519,225.0
20200511T0300,4.198285,210.96376
20200511T0400,2.5455842,171.8699
20200511T0500,2.9024127,119.74488
20200511T0600,4.6800003,112.61986
20200511T0700,5.8603754,100.61965
20200511T0800,6.1094027,44.999985
20200511T0900,4.6938257,57.5288
20200511T1000,4.3349743,85.23635
20200511T1100,4.3498964,114.44395
20200511T1200,3.8939953,146.30994
20200511T1300,4.6938252,175.60129
20200511T1400,6.725354,195.52411
20200511T1500,8.913181,223.36343
20200511T1600,10.30883,245.22485
20200511T1700,12.9249525,257.125
20200511T1800,13.979871,258.11133
20200511T1900,15.629971,255.32361
20200511T2000,15.256526,250.70996
20200511T2100,16.981165,248.87527
20200511T2200,13.797913,254.87599
20200511T2300,10.853866,264.28943
20200512T0000,8.647496,272.38596
20200512T0100,6.379216,286.38956
20200512T0200,5.1919937,303.69006
20200512T0300,3.7064266,330.94543
20200512T0400,3.6,360.0
20200512T0500,4.6102495,38.659805
20200512T0600,6.12,61.927513
20200512T0700,7.172949,72.47443
20200512T0800,7.69592,79.2157
20200512T0900,5.771239,86.42367
20200512T1000,4.8965297,126.027374
20200512T1100,5.2416787,164.0546
20200512T1200,5.771239,183.57634
20200512T1300,7.8954163,204.22775
20200512T1400,8.78872,214.99202
20200512T1500,11.457958,226.27303
20200512T1600,13.392774,233.74615
20200512T1700,17.673029,236.63364
20200512T1800,20.68356,238.52316
20200512T1900,23.277834,238.2764
20200512T2000,21.30093,239.53445
20200512T2100,20.288164,242.52557
20200512T2200,16.394829,250.76932
20200512T2300,13.556282,259.28687
