"","timestamp","Zapotitl√.n.Wind.Speed..80.m.","Zapotitl√.n.Wind.Direction..80.m."
"209",2020-04-20 16:00:00,4.198285,120.96376
"210",2020-04-20 17:00:00,8.905908,104.03624
"211",2020-04-20 18:00:00,20.5484,86.98721
"212",2020-04-20 19:00:00,16.919998,89.99999
"213",2020-04-20 20:00:00,10.182337,81.869896
"214",2020-04-20 21:00:00,4.379589,80.537674
"215",2020-04-20 22:00:00,0.5091169,44.999985
"216",2020-04-20 23:00:00,1.609969,333.43497
"217",2020-04-21 00:00:00,1.8,323.13013
"218",2020-04-21 01:00:00,1.4399999,360
"219",2020-04-21 02:00:00,2.16,360
"220",2020-04-21 03:00:00,3.219938,333.43497
"221",2020-04-21 04:00:00,3.8939953,326.30994
"222",2020-04-21 05:00:00,4.39436,325.008
"223",2020-04-21 06:00:00,4.3498964,294.44397
"225",2020-04-21 08:00:00,2.7416782,23.198593
"226",2020-04-21 09:00:00,5.95906,64.98311
"227",2020-04-21 10:00:00,10.495713,59.036232
"228",2020-04-21 11:00:00,11.808878,52.431404
"229",2020-04-21 12:00:00,8.0899935,57.72435
"230",2020-04-21 13:00:00,5.8048253,97.125015
"231",2020-04-21 14:00:00,7.145796,130.91438
"232",2020-04-21 15:00:00,9.931042,136.4688
"233",2020-04-21 16:00:00,10.799999,126.869896
"234",2020-04-21 17:00:00,11.841756,109.53665
"235",2020-04-21 18:00:00,11.367109,100.954056
"236",2020-04-21 19:00:00,13.004921,94.76365
"237",2020-04-21 20:00:00,13.797912,82.504135
"238",2020-04-21 21:00:00,6.4799995,89.99999
"239",2020-04-21 22:00:00,3.6179552,95.71059
"240",2020-04-21 23:00:00,2.3051248,51.34018
"241",2020-04-22 00:00:00,3.8939953,303.69006
"242",2020-04-22 01:00:00,8.64,270
"243",2020-04-22 02:00:00,9.422101,276.58194
"244",2020-04-22 03:00:00,7.9932976,277.76517
"245",2020-04-22 04:00:00,3.8773184,291.8014
"246",2020-04-22 05:00:00,3.396233,302.00537
"247",2020-04-22 06:00:00,4.0249224,280.30487
"248",2020-04-22 07:00:00,5.8048253,277.125
"249",2020-04-22 08:00:00,5.4119864,3.8140564
"250",2020-04-22 09:00:00,5.495161,31.607498
"251",2020-04-22 10:00:00,6.439876,26.565033
"252",2020-04-22 11:00:00,5.991594,32.735214
"253",2020-04-22 12:00:00,4.510787,61.38954
"254",2020-04-22 13:00:00,6.130579,86.63353
"255",2020-04-22 14:00:00,7.2359104,95.71059
"256",2020-04-22 15:00:00,8.707238,97.125015
"257",2020-04-22 16:00:00,8.473393,102.26477
"258",2020-04-22 17:00:00,7.5170207,106.69924
"259",2020-04-22 18:00:00,5.6233797,129.80557
"260",2020-04-22 19:00:00,5.634891,153.43495
"261",2020-04-22 20:00:00,4.8433046,48.01277
"262",2020-04-22 21:00:00,3.8773184,338.1986
"263",2020-04-22 22:00:00,0.35999998,180
"264",2020-04-22 23:00:00,1.08,180
"265",2020-04-23 00:00:00,5.3999996,180
"266",2020-04-23 01:00:00,11.113451,204.90477
"267",2020-04-23 02:00:00,20.65848,221.46771
"268",2020-04-23 03:00:00,26.230639,223.33167
"269",2020-04-23 04:00:00,32.11071,222.2737
"270",2020-04-23 05:00:00,31.435646,219.88959
"271",2020-04-23 06:00:00,29.515608,210.00491
"272",2020-04-23 07:00:00,25.992397,210.82767
"273",2020-04-23 08:00:00,16.595179,220.60129
"274",2020-04-23 09:00:00,8.942214,220.1009
"275",2020-04-23 10:00:00,5.3517847,289.6538
"276",2020-04-23 11:00:00,4.802999,12.994629
"277",2020-04-23 12:00:00,8.891343,58.24051
"278",2020-04-23 13:00:00,11.183201,56.82148
"279",2020-04-23 14:00:00,10.44,43.602814
"280",2020-04-23 15:00:00,25.501621,71.05349
"281",2020-04-23 16:00:00,30.413074,96.1155
"282",2020-04-23 17:00:00,24.609364,84.122604
"283",2020-04-23 18:00:00,12.979984,109.44003
"284",2020-04-23 19:00:00,2.7416782,156.8014
"285",2020-04-23 20:00:00,4.198285,120.96376
"286",2020-04-23 21:00:00,8.049845,243.43495
"287",2020-04-23 22:00:00,4.6938252,265.6013
"288",2020-04-23 23:00:00,4.829907,206.56505
"289",2020-04-24 00:00:00,11.503113,249.86371
"290",2020-04-24 01:00:00,15.315873,246.44774
"291",2020-04-24 02:00:00,17.072504,245.05609
"292",2020-04-24 03:00:00,17.418196,251.93953
"293",2020-04-24 04:00:00,12.0694,252.64598
"294",2020-04-24 05:00:00,6.763786,244.79889
"295",2020-04-24 06:00:00,3.8939953,213.69006
"296",2020-04-24 07:00:00,3.96,180
"297",2020-04-24 08:00:00,0.35999998,360
"298",2020-04-24 09:00:00,5.315336,61.699234
"299",2020-04-24 10:00:00,8.707237,60.25511
"300",2020-04-24 11:00:00,9.6932955,74.9315
"301",2020-04-24 12:00:00,8.707238,82.874985
"302",2020-04-24 13:00:00,7.92,89.99999
"303",2020-04-24 14:00:00,6.725354,105.5241
"304",2020-04-24 15:00:00,10.308831,102.09476
"305",2020-04-24 16:00:00,13.397612,96.17017
"306",2020-04-24 17:00:00,14.003029,107.96913
"307",2020-04-24 18:00:00,13.397612,96.17017
"308",2020-04-24 19:00:00,16.923828,91.218864
"309",2020-04-24 20:00:00,8.825508,101.76829
"310",2020-04-24 21:00:00,3.2399998,89.99999
"311",2020-04-24 22:00:00,3.6179552,354.28943
"312",2020-04-24 23:00:00,5.0142193,291.0375
"313",2020-04-25 00:00:00,3.96,270
"314",2020-04-25 01:00:00,3.396233,302.00537
"315",2020-04-25 02:00:00,4.1046314,285.25513
"316",2020-04-25 03:00:00,6.0347,287.35403
"317",2020-04-25 04:00:00,5.937272,284.03625
"318",2020-04-25 05:00:00,5.154415,294.77515
"319",2020-04-25 06:00:00,5.1165614,309.2894
"320",2020-04-25 07:00:00,2.7416782,293.1986
"321",2020-04-25 08:00:00,1.9386592,21.801407
"322",2020-04-25 09:00:00,5.315336,28.30075
"323",2020-04-25 10:00:00,7.0911775,23.962494
"324",2020-04-25 11:00:00,6.638072,40.601288
"325",2020-04-25 12:00:00,6.792466,57.994614
"326",2020-04-25 13:00:00,6.379216,73.61045
"327",2020-04-25 14:00:00,6.849467,86.98721
"328",2020-04-25 15:00:00,7.208994,87.137596
"329",2020-04-25 16:00:00,6.12,89.99999
"330",2020-04-25 17:00:00,9.504273,114.623566
"331",2020-04-25 18:00:00,6.297428,120.963745
"332",2020-04-25 19:00:00,15.978486,75.650665
"333",2020-04-25 20:00:00,4.510787,298.61047
"334",2020-04-25 21:00:00,1.484318,165.96376
"335",2020-04-25 22:00:00,3.7064266,29.05458
"336",2020-04-25 23:00:00,10.028439,111.03751
"337",2020-04-26 00:00:00,4.6102495,51.34018
"338",2020-04-26 01:00:00,10.495713,337.83365
"339",2020-04-26 02:00:00,24.693481,315.59067
"340",2020-04-26 03:00:00,7.928177,309.47247
"341",2020-04-26 04:00:00,3.7064266,240.9454
"342",2020-04-26 05:00:00,9.1641035,225
"343",2020-04-26 06:00:00,18.792551,249.82935
"344",2020-04-26 07:00:00,18.775301,265.6013
"345",2020-04-26 08:00:00,8.557102,247.75098
"346",2020-04-26 09:00:00,9.565437,340.20114
"347",2020-04-26 10:00:00,12.074766,26.565033
"348",2020-04-26 11:00:00,9.227524,20.55603
"349",2020-04-26 12:00:00,4.829907,333.43497
"350",2020-04-26 13:00:00,8.707238,262.875
"351",2020-04-26 14:00:00,9,343.7398
"352",2020-04-26 15:00:00,13.32,360
"353",2020-04-26 16:00:00,6.8777895,312.8789
"354",2020-04-26 17:00:00,5.771239,273.57632
"355",2020-04-26 18:00:00,5.634891,296.56506
"356",2020-04-26 19:00:00,5.7599998,270
"357",2020-04-26 20:00:00,2.8116899,50.194427
"358",2020-04-26 21:00:00,1.5273507,225
"359",2020-04-26 22:00:00,5.1165614,230.7106
"360",2020-04-26 23:00:00,9.339208,242.44719
"361",2020-04-27 00:00:00,11.966953,263.08878
"362",2020-04-27 01:00:00,11.901798,266.53177
"363",2020-04-27 02:00:00,9.007196,272.29062
"364",2020-04-27 03:00:00,5.3517847,289.6538
"365",2020-04-27 04:00:00,2.4149535,296.56506
"366",2020-04-27 05:00:00,1.609969,333.43497
"367",2020-04-27 06:00:00,0.35999998,360
"368",2020-04-27 07:00:00,1.8,216.8699
"369",2020-04-27 08:00:00,3.396233,237.99463
"370",2020-04-27 09:00:00,3.219938,296.56506
"371",2020-04-27 10:00:00,4.5536795,341.56506
"372",2020-04-27 11:00:00,3.8773184,338.1986
"373",2020-04-27 12:00:00,1.2979984,303.69006
"374",2020-04-27 13:00:00,1.8,180
"375",2020-04-27 14:00:00,4.1046314,142.12502
"376",2020-04-27 15:00:00,6.193674,125.537674
"377",2020-04-27 16:00:00,9.178235,115.55997
"378",2020-04-27 17:00:00,12.641076,109.9831
"379",2020-04-27 18:00:00,13.37825,113.80594
"380",2020-04-27 19:00:00,15.484185,107.59242
"381",2020-04-27 20:00:00,14.986553,114.10223
"382",2020-04-27 21:00:00,12.074766,116.56505
"383",2020-04-27 22:00:00,6.1094027,135
"384",2020-04-27 23:00:00,3.8268526,228.81409
"385",2020-04-26 00:00:00,12.224107,346.37302
"386",2020-04-26 01:00:00,23.469128,327.5288
"387",2020-04-26 02:00:00,6.4096174,321.84277
"388",2020-04-26 03:00:00,5.937272,194.03624
"389",2020-04-26 04:00:00,9.885262,236.88866
"390",2020-04-26 05:00:00,22.73707,246.68228
"391",2020-04-26 06:00:00,13.324863,268.45184
"393",2020-04-26 08:00:00,6.4096174,321.84277
"394",2020-04-26 09:00:00,7.653705,48.81407
"395",2020-04-26 10:00:00,0,180
"396",2020-04-26 11:00:00,5.4477882,277.59464
"397",2020-04-26 12:00:00,9.885262,280.4915
"398",2020-04-26 13:00:00,14.685176,281.30994
"399",2020-04-26 14:00:00,11.609651,277.125
"400",2020-04-26 15:00:00,7.42159,284.03625
"401",2020-04-26 16:00:00,4.6938252,274.3987
"402",2020-04-26 17:00:00,4.2136917,250.0169
"403",2020-04-26 18:00:00,6.151683,249.44395
"404",2020-04-26 19:00:00,9.021574,241.38954
"417",2020-04-27 08:00:00,2.3051248,51.34018
"418",2020-04-27 09:00:00,4.0249224,26.565033
"419",2020-04-27 10:00:00,5.00128,30.256424
"420",2020-04-27 11:00:00,3.096837,35.53766
"421",2020-04-27 12:00:00,3.319036,77.47118
"422",2020-04-27 13:00:00,3.6179552,84.289406
"423",2020-04-27 14:00:00,6.130579,93.366455
"424",2020-04-27 15:00:00,9.779817,96.34019
"425",2020-04-27 16:00:00,11.177405,104.93142
"426",2020-04-27 17:00:00,12.864649,107.92791
"427",2020-04-27 18:00:00,14.264361,100.17551
"428",2020-04-27 19:00:00,14.471821,95.71059
"429",2020-04-27 20:00:00,11.183201,86.30861
"430",2020-04-27 21:00:00,5.8603754,79.38034
"431",2020-04-27 22:00:00,3.4152596,108.434944
"432",2020-04-27 23:00:00,0.8049845,243.43495
"433",2020-04-28 00:00:00,4.6938252,274.3987
"434",2020-04-28 01:00:00,6.638072,282.5288
"435",2020-04-28 02:00:00,7.342588,281.30994
"436",2020-04-28 03:00:00,6.9899354,281.88867
"437",2020-04-28 04:00:00,4.73506,278.74615
"438",2020-04-28 05:00:00,3.7064266,299.0546
"439",2020-04-28 06:00:00,4.896529,287.10272
"440",2020-04-28 07:00:00,6.379216,286.38956
"441",2020-04-28 08:00:00,3.7064266,299.0546
"442",2020-04-28 09:00:00,4.6800003,337.38013
"443",2020-04-28 10:00:00,6.130579,356.63354
"444",2020-04-28 11:00:00,4.1046314,15.255127
"445",2020-04-28 12:00:00,3.6,53.130096
"446",2020-04-28 13:00:00,5.3517847,70.346176
"447",2020-04-28 14:00:00,6.12,89.99999
"448",2020-04-28 15:00:00,7.9932976,97.76516
