location,Zapotitlán,Zapotitlán
20200423T2100,8.049845,243.43495
20200423T2200,4.6938252,265.6013
20200423T2300,4.829907,206.56505
20200424T0000,11.503113,249.86371
20200424T0100,15.315873,246.44774
20200424T0200,17.072504,245.05609
20200424T0300,17.418196,251.93953
20200424T0400,12.0694,252.64598
20200424T0500,6.763786,244.79889
20200424T0600,3.8939953,213.69006
20200424T0700,3.96,180.0
20200424T0800,0.35999998,360.0
20200424T0900,5.315336,61.699234
20200424T1000,8.707237,60.25511
20200424T1100,9.6932955,74.9315
20200424T1200,8.707238,82.874985
20200424T1300,7.92,89.99999
20200424T1400,6.725354,105.5241
20200424T1500,10.308831,102.09476
20200424T1600,13.397612,96.17017
20200424T1700,14.003029,107.96913
20200424T1800,13.397612,96.17017
20200424T1900,16.923828,91.218864
20200424T2000,8.825508,101.76829
20200424T2100,3.2399998,89.99999
20200424T2200,3.6179552,354.28943
20200424T2300,5.0142193,291.0375
20200425T0000,3.96,270.0
20200425T0100,3.396233,302.00537
20200425T0200,4.1046314,285.25513
20200425T0300,6.0347,287.35403
20200425T0400,5.937272,284.03625
20200425T0500,5.154415,294.77515
20200425T0600,5.1165614,309.2894
20200425T0700,2.7416782,293.1986
20200425T0800,1.9386592,21.801407
20200425T0900,5.315336,28.30075
20200425T1000,7.0911775,23.962494
20200425T1100,6.638072,40.601288
20200425T1200,6.792466,57.994614
20200425T1300,6.379216,73.61045
20200425T1400,6.849467,86.98721
20200425T1500,7.208994,87.137596
20200425T1600,6.12,89.99999
20200425T1700,9.504273,114.623566
20200425T1800,6.297428,120.963745
20200425T1900,15.978486,75.650665
20200425T2000,4.510787,298.61047
20200425T2100,1.484318,165.96376
20200425T2200,3.7064266,29.05458
20200425T2300,10.028439,111.03751
20200426T0000,4.6102495,51.34018
20200426T0100,10.495713,337.83365
20200426T0200,24.693481,315.59067
20200426T0300,7.928177,309.47247
20200426T0400,3.7064266,240.9454
20200426T0500,9.1641035,225.0
20200426T0600,18.792551,249.82935
20200426T0700,18.775301,265.6013
20200426T0800,8.557102,247.75098
20200426T0900,9.565437,340.20114
20200426T1000,12.074766,26.565033
20200426T1100,9.227524,20.55603
20200426T1200,4.829907,333.43497
20200426T1300,8.707238,262.875
20200426T1400,9.0,343.7398
20200426T1500,13.32,360.0
20200426T1600,6.8777895,312.8789
20200426T1700,5.771239,273.57632
20200426T1800,5.634891,296.56506
20200426T1900,5.7599998,270.0
20200426T2000,2.8116899,50.194427
20200426T2100,1.5273507,225.0
20200426T2200,5.1165614,230.7106
20200426T2300,9.339208,242.44719
20200427T0000,11.966953,263.08878
20200427T0100,11.901798,266.53177
20200427T0200,9.007196,272.29062
20200427T0300,5.3517847,289.6538
20200427T0400,2.4149535,296.56506
20200427T0500,1.609969,333.43497
20200427T0600,0.35999998,360.0
20200427T0700,1.8,216.8699
20200427T0800,3.396233,237.99463
20200427T0900,3.219938,296.56506
20200427T1000,4.5536795,341.56506
20200427T1100,3.8773184,338.1986
20200427T1200,1.2979984,303.69006
20200427T1300,1.8,180.0
20200427T1400,4.1046314,142.12502
20200427T1500,6.193674,125.537674
20200427T1600,9.178235,115.55997
20200427T1700,12.641076,109.9831
20200427T1800,13.37825,113.80594
20200427T1900,15.484185,107.59242
20200427T2000,14.986553,114.10223
20200427T2100,12.074766,116.56505
20200427T2200,6.1094027,135.0
20200427T2300,3.8268526,228.81409
