"","timestamp","Corral.de.Barrancas.Wind.Speed..80.m.","Corral.de.Barrancas.Wind.Direction..80.m."
"159",2020-04-20 14:00:00,10.30883,245.22485
"160",2020-04-20 15:00:00,11.966953,248.83875
"161",2020-04-20 16:00:00,12.864649,252.07208
"162",2020-04-20 17:00:00,12.661564,255.17352
"163",2020-04-20 18:00:00,11.720751,259.38034
"164",2020-04-20 19:00:00,10.853866,264.28943
"165",2020-04-20 20:00:00,8.654987,315
"166",2020-04-20 21:00:00,3.96,360
"167",2020-04-20 22:00:00,3.8773184,68.19859
"168",2020-04-20 23:00:00,5.4477882,97.59464
"169",2020-04-21 00:00:00,6.489992,109.44003
"170",2020-04-21 01:00:00,6.9247384,117.89726
"171",2020-04-21 02:00:00,7.289445,122.90524
"172",2020-04-21 03:00:00,9.178235,131.82016
"173",2020-04-21 04:00:00,10.233123,140.71059
"174",2020-04-21 05:00:00,10.1887,147.99461
"175",2020-04-21 06:00:00,8.373386,154.53665
"176",2020-04-21 07:00:00,6.28713,166.75948
"177",2020-04-21 08:00:00,3.2599385,186.3402
"178",2020-04-21 09:00:00,2.0991426,239.03624
"179",2020-04-21 10:00:00,1.08,270
"180",2020-04-21 11:00:00,1.08,180
"181",2020-04-21 12:00:00,2.4149535,153.43495
"182",2020-04-21 13:00:00,4.6938257,147.52881
"183",2020-04-21 14:00:00,6.489992,160.55997
"184",2020-04-21 15:00:00,7.42159,165.96376
"185",2020-04-21 16:00:00,8.4042845,170.13419
"186",2020-04-21 17:00:00,9.107359,161.56505
"187",2020-04-21 18:00:00,9.826088,151.55707
"188",2020-04-21 19:00:00,10.703569,132.27368
"189",2020-04-21 20:00:00,12.303366,110.556046
"190",2020-04-21 21:00:00,13.797912,97.49586
"191",2020-04-21 22:00:00,12.964998,91.59113
"192",2020-04-21 23:00:00,13.679999,89.99999
"193",2020-04-20 00:00:00,4.8965297,53.97262
"194",2020-04-20 01:00:00,3.8773184,68.19859
"195",2020-04-20 02:00:00,2.9024127,82.874985
"196",2020-04-20 03:00:00,2.16,89.99999
"197",2020-04-20 04:00:00,1.609969,63.43495
"198",2020-04-20 05:00:00,1.5273507,44.999985
"199",2020-04-20 06:00:00,1.9386592,21.801407
