"","timestamp","Bimbaletes.Aguascalientes..El.Ã.lamo..Wind.Speed..80.m.","Bimbaletes.Aguascalientes..El.Ã.lamo..Wind.Direction..80.m."
"230",2020-04-21 13:00:00,4.8965297,233.97263
"231",2020-04-21 14:00:00,7.2,233.1301
"232",2020-04-21 15:00:00,9.585739,235.71313
"233",2020-04-21 16:00:00,11.183201,236.82149
"234",2020-04-21 17:00:00,13.0447235,242.02054
"235",2020-04-21 18:00:00,14.658676,245.32315
"236",2020-04-21 19:00:00,16.311613,247.96378
"237",2020-04-21 20:00:00,11.570515,275.35583
"238",2020-04-21 21:00:00,11.885453,268.26428
"239",2020-04-21 22:00:00,13.441071,262.30396
"240",2020-04-21 23:00:00,12.783802,260.27243
"241",2020-04-22 00:00:00,11.090103,256.86597
"242",2020-04-22 01:00:00,11.726277,252.1213
"243",2020-04-22 02:00:00,12.43434,247.89056
"244",2020-04-22 03:00:00,13.527572,244.79889
"245",2020-04-22 04:00:00,14.007655,244.09349
"246",2020-04-22 05:00:00,13.684735,243.43495
"247",2020-04-22 06:00:00,13.363711,242.74467
"248",2020-04-22 07:00:00,13.217443,240.64226
"249",2020-04-22 08:00:00,9.422101,223.45184
"250",2020-04-22 09:00:00,7.928177,230.52754
"251",2020-04-22 10:00:00,10.805998,240.01837
"252",2020-04-22 11:00:00,15.379206,249.44395
"253",2020-04-22 12:00:00,18.584509,261.08508
"254",2020-04-22 13:00:00,22.104116,263.4537
"255",2020-04-22 14:00:00,24.251284,264.03552
"256",2020-04-22 15:00:00,26.795223,263.82983
"257",2020-04-22 16:00:00,28.19285,264.87183
"258",2020-04-22 17:00:00,29.627363,265.12073
"259",2020-04-22 18:00:00,29.5551,267.2073
"260",2020-04-22 19:00:00,30.962095,269.3338
"261",2020-04-22 20:00:00,27.288855,278.3439
"262",2020-04-22 21:00:00,29.784426,277.6404
"263",2020-04-22 22:00:00,31.616526,277.85333
"264",2020-04-22 23:00:00,30.78368,280.7843
"265",2020-04-23 00:00:00,29.795301,281.85303
"266",2020-04-23 01:00:00,29.237675,279.92624
"267",2020-04-23 02:00:00,29.239891,274.2364
"268",2020-04-23 03:00:00,28.496904,266.3785
"269",2020-04-23 04:00:00,28.1169,256.67548
"270",2020-04-23 05:00:00,24.86868,247.89056
"271",2020-04-23 06:00:00,20.456745,241.63095
"272",2020-04-23 07:00:00,15.496736,239.26453
"273",2020-04-23 08:00:00,10.829959,254.57785
"274",2020-04-23 09:00:00,6.130579,266.63354
"275",2020-04-23 10:00:00,10.787993,295.70996
"276",2020-04-23 11:00:00,15.0038395,300.25644
"277",2020-04-23 12:00:00,15.941944,295.4077
"278",2020-04-23 13:00:00,17.227419,280.8403
"279",2020-04-23 14:00:00,19.45333,272.1211
"280",2020-04-23 15:00:00,21.2522,268.05853
"281",2020-04-23 16:00:00,22.033648,265.31412
"282",2020-04-23 17:00:00,23.177402,263.7581
"283",2020-04-23 18:00:00,23.675303,261.25385
"284",2020-04-23 19:00:00,24.149532,259.69516
"285",2020-04-23 20:00:00,11.013882,281.30994
"286",2020-04-23 21:00:00,14.417988,272.8624
"287",2020-04-23 22:00:00,18.374111,267.75427
"288",2020-04-23 23:00:00,18.391735,266.63354
"289",2020-04-24 00:00:00,16.299694,263.65982
"290",2020-04-24 01:00:00,13.493999,260.78897
"291",2020-04-24 02:00:00,11.27553,253.30075
"292",2020-04-24 03:00:00,9.983106,244.359
"293",2020-04-24 04:00:00,10.1887,237.99463
"294",2020-04-24 05:00:00,9.504272,232.69606
"295",2020-04-24 06:00:00,8.654987,225
"296",2020-04-24 07:00:00,7.928177,219.47246
"297",2020-04-24 08:00:00,4.452954,194.03624
"298",2020-04-24 09:00:00,4.379589,189.46233
"299",2020-04-24 10:00:00,6.6185193,202.38013
"300",2020-04-24 11:00:00,9.085988,213.69006
"301",2020-04-24 12:00:00,12.261157,229.76364
"302",2020-04-24 13:00:00,16.923828,240.70865
"303",2020-04-24 14:00:00,20.46941,246.13983
"304",2020-04-24 15:00:00,22.66857,249.55045
"305",2020-04-24 16:00:00,23.224882,251.00336
"306",2020-04-24 17:00:00,23.688984,253.21736
"307",2020-04-24 18:00:00,22.79684,254.42746
"308",2020-04-24 19:00:00,22.61419,256.185
"309",2020-04-24 20:00:00,13.450708,254.47589
"310",2020-04-24 21:00:00,15.725037,254.0546
"311",2020-04-24 22:00:00,15.034041,253.30075
"312",2020-04-24 23:00:00,12.758432,253.61046
"313",2020-04-25 00:00:00,10.30883,245.22485
"314",2020-04-25 01:00:00,8.78872,235.00798
"315",2020-04-25 02:00:00,7.8954163,223.15239
"316",2020-04-25 03:00:00,7.4128532,209.05461
"317",2020-04-25 04:00:00,7.172949,197.52557
"318",2020-04-25 05:00:00,6.489992,183.17982
"319",2020-04-25 06:00:00,5.8603754,169.38034
"320",2020-04-25 07:00:00,5.4833565,156.8014
"321",2020-04-25 08:00:00,5.4477882,172.40535
"322",2020-04-25 09:00:00,4.0249224,190.30484
"323",2020-04-25 10:00:00,6.151683,200.55605
"324",2020-04-25 11:00:00,9.659814,206.56505
"325",2020-04-25 12:00:00,12.387348,215.53769
"326",2020-04-25 13:00:00,14.565548,219.9869
"327",2020-04-25 14:00:00,15.629971,218.4537
