"","timestamp","Sierra.Tomóchic.Wind.Speed..80.m.","Sierra.Tomóchic.Wind.Direction..80.m."
"269",2020-04-23 04:00:00,4.39436,214.99202
"270",2020-04-23 05:00:00,4.3498964,204.44395
"271",2020-04-23 06:00:00,4.1046314,195.25513
"272",2020-04-23 07:00:00,0.8049845,206.56505
"273",2020-04-23 08:00:00,3.2399998,180
"274",2020-04-23 09:00:00,1.4399999,180
"275",2020-04-23 10:00:00,0,180
"276",2020-04-23 11:00:00,2.0991426,300.96378
"277",2020-04-23 12:00:00,6.0347,287.35403
"278",2020-04-23 13:00:00,12.303366,290.55603
"279",2020-04-23 14:00:00,18.03237,296.0535
"280",2020-04-23 15:00:00,21.900904,295.3014
"281",2020-04-23 16:00:00,24.819122,293.9625
"282",2020-04-23 17:00:00,25.872454,291.20923
"283",2020-04-23 18:00:00,26.758923,289.6538
"284",2020-04-23 19:00:00,29.374763,289.32318
"285",2020-04-23 20:00:00,25.071096,285.8324
"286",2020-04-23 21:00:00,21.046917,282.84772
"287",2020-04-23 22:00:00,18.228943,279.09027
"288",2020-04-23 23:00:00,16.039202,279.0395
"289",2020-04-24 00:00:00,11.183201,273.6914
"290",2020-04-24 01:00:00,6.519877,263.65982
"291",2020-04-24 02:00:00,4.2136917,250.0169
"292",2020-04-24 03:00:00,3.096837,234.46233
"293",2020-04-24 04:00:00,3.096837,234.46233
"294",2020-04-24 05:00:00,2.4149535,243.43495
"295",2020-04-24 06:00:00,2.0991426,239.03624
"296",2020-04-24 07:00:00,7.2805495,261.46924
"297",2020-04-24 08:00:00,5.4477882,262.40536
"298",2020-04-24 09:00:00,4.32,270
"299",2020-04-24 10:00:00,7.172949,287.52557
"300",2020-04-24 11:00:00,10.990322,301.6075
"301",2020-04-24 12:00:00,11.923557,298.8866
"302",2020-04-24 13:00:00,13.37825,293.80597
"303",2020-04-24 14:00:00,17.533146,289.17902
"304",2020-04-24 15:00:00,21.9718,288.1381
"305",2020-04-24 16:00:00,26.554728,285.732
"306",2020-04-24 17:00:00,29.337238,284.20676
"307",2020-04-24 18:00:00,30.735231,283.54794
"308",2020-04-24 19:00:00,31.956968,292.52057
"309",2020-04-24 20:00:00,27.811018,291.2505
"310",2020-04-24 21:00:00,23.565567,288.71173
"311",2020-04-24 22:00:00,22.206486,289.90375
"312",2020-04-24 23:00:00,20.188908,291.99115
"313",2020-04-25 00:00:00,16.09969,296.56506
