location,‘Izbat Qināwī,‘Izbat Qināwī
20200426T0000,21.2522,271.94147
20200426T0100,20.163212,271.02304
20200426T0200,20.16,270.0
20200426T0300,20.545246,281.11304
20200426T0400,17.727943,282.9074
20200426T0500,15.119999,270.0
20200426T0600,14.440443,265.71085
20200426T0700,11.212135,264.47247
20200426T0800,13.722565,274.51398
20200426T0900,13.202726,281.00354
20200426T1000,14.512064,277.125
20200426T1100,14.685176,281.30994
20200426T1200,16.327497,284.03625
20200426T1300,16.981165,291.12473
20200426T1400,17.87718,295.0169
20200426T1500,23.210928,293.78204
20200426T1600,23.507753,297.34985
20200426T1700,19.881649,312.06433
20200426T1800,18.043148,331.38956
20200426T1900,16.65754,353.79657
20200426T2000,15.844089,21.317917
20200426T2100,16.29174,44.999985
20200426T2200,17.87718,64.98311
20200426T2300,20.957443,85.07288
20200427T0000,23.795427,100.45991
20200427T0100,27.322077,108.434944
20200427T0200,27.381306,118.24973
20200427T0300,17.072504,137.56377
20200427T0400,15.30741,131.18591
20200427T0500,15.7908325,136.84761
20200427T0600,18.584509,134.21518
20200427T0700,10.691453,135.0
20200427T0800,12.88981,144.09027
20200427T0900,9.565437,160.20113
20200427T1000,8.669949,175.23636
20200427T1100,6.12,180.0
20200427T1200,5.4119864,176.18593
20200427T1300,4.8433046,311.98724
20200427T1400,9.885262,10.49147
20200427T1500,20.87379,32.31961
20200427T1600,25.264202,32.78427
20200427T1700,25.140787,29.134277
20200427T1800,23.664352,33.20656
20200427T1900,26.089443,39.40065
20200427T2000,26.478971,43.898285
20200427T2100,25.305208,50.194427
20200427T2200,24.962307,56.768288
20200427T2300,24.567198,55.145523
